id,origin_zip,destination_zip,equipment_type,origin_city,origin_state,destination_city,destination_state,rate_source,duration,target_rate,avg_rate,max_rate,miles,fuel_surcharge,created_userid,created_at,cache_date,updated_at,updated_userid
1,60803,51565,2,Alsip,IL,Portsmouth,IA,Rate source1,3,1067.06,1132.11,1194.78,477.47,0,,52:43.4,30:00.0,52:43.4,
2,19067,33801,2,Lower Makefield,PA,Lakeland,FL,Rate source1,3,2167.37,2248.16,2336.43,1050.49,0,,54:01.9,30:00.0,54:01.9,
3,78040,51249,2,Laredo,TX,Cloverdale,IA,Rate source1,3,2272.1,2335.98,2448.56,1168.47,0,,54:02.3,30:00.0,54:02.3,
4,19092,45133,2,Philadelphia,PA,Allensburg,OH,Rate source1,3,1009.22,1051.83,1116.16,549.35,0,,54:02.8,30:00.0,54:02.8,
5,44502,60140,2,Youngstown,OH,Campton Hills,IL,Rate source1,3,712.08,769.73,839.45,436.48,0,,54:03.2,30:00.0,54:03.2,
6,29650,21219,2,Greer,SC,Baltimore,MD,Rate source1,3,1332.57,1431.98,1525.16,545.46,0,,54:03.7,30:00.0,54:03.7,
7,39455,78610,2,Baxterville,MS,Buda,TX,Rate source1,3,935.34,1011.85,1130.31,601.86,0,,54:04.2,30:00.0,54:04.2,
8,89431,01013,2,Greenbrae,NV,Chicopee,MA,Rate source1,3,4812.16,5046.67,5330.32,2793.44,0,,54:04.6,30:00.0,54:04.6,
9,16146,56401,2,Sharon,PA,Baxter,MN,Rate source1,3,1488.56,1546.47,1606.56,974.21,0,,54:05.0,30:00.0,54:05.0,
10,52001,01537,2,Center Grove,IA,North Oxford,MA,Rate source1,3,2240.32,2402.28,2595.81,1136.8,0,,54:05.3,30:00.0,54:05.3,
11,92335,92584,2,Fontana,CA,Menifee,CA,Rate source1,3,376.85,428.9,481.63,48.75,0,,54:05.4,30:00.0,54:05.4,
12,35772,27284,2,Stevenson,AL,Guthrie,NC,Rate source1,3,890.47,941.57,997.48,501.73,0,,54:05.6,30:00.0,54:05.6,
13,70112,38401,2,New Orleans,LA,Columbia,TN,Rate source1,3,875.03,931.08,1006.96,487.06,0,,54:06.3,30:00.0,54:06.3,
14,47129,62002,2,Cementville,IN,Alton,IL,Rate source1,3,668.72,705.24,728.47,276.46,0,,54:06.8,30:00.0,54:06.8,
15,36426,37402,2,Brewton,AL,Chattanooga,TN,Rate source1,,784.44,839.77,880.95,325.99,0,,54:07.3,30:00.0,54:07.3,
16,43351,30303,2,Upper Sandusky,OH,Atlanta,GA,Rate source1,3,,1360.05,1436.26,590.29,0,,54:07.7,30:00.0,54:07.7,
17,43351,28202,2,Upper Sandusky,OH,Charlotte,NC,Rate source1,3,1259.51,1317.19,1426.54,484.45,0,,56:49.5,30:00.0,56:49.5,
18,33563,32601,2,Plant City,FL,Gainesville,FL,Rate source1,3,487.66,,556.47,131.86,0,,56:49.8,30:00.0,56:49.8,
19,21201,22801,2,Baltimore,MD,Harrisonburg,VA,Rate source1,3,720.06,972.74,1292.04,157.29,0,,56:50.3,30:00.0,56:50.3,
20,78040,37743,1,Laredo,TX,Baileyton,TN,Rate source1,3,2031.81,2165.52,2301.12,1202.23,0,,56:50.9,30:00.0,56:50.9,
21,19067,33801,1,Lower Makefield,PA,Lakeland,FL,Rate source1,3,2314.15,2357.75,2398.18,1050.49,0,,56:51.2,30:00.0,56:51.2,
22,78040,13146,1,Laredo,TX,Savannah,NY,Rate source1,3,3632.69,3735.28,3893.22,1871.71,0,,56:51.8,30:00.0,56:51.8,
23,31520,71638,1,Altama,GA,Baxter,AR,Rate source1,3,1369.33,1436.85,1562.46,815.16,0,,56:51.9,30:00.0,56:51.9,
24,36104,38301,2,Montgomery,AL,Jackson,TN,Rate source1,3,764.3,788.17,810.21,311.97,0,,56:52.3,30:00.0,56:52.3,
25,60098,54935,2,Bull Valley,IL,Fond Du Lac,WI,Rate source1,3,502.92,529.76,589.89,153.38,0,,56:52.7,30:00.0,56:52.7,
26,45011,04967,2,City View Heights,OH,Pittsfield,ME,Rate source1,3,2126.28,2234.33,2361.84,1073.38,0,,56:53.1,30:00.0,56:53.1,
27,52001,03833,2,Center Grove,IA,Brentwood,NH,Rate source1,3,2409.32,2815.64,2942.57,1181.38,0,,56:53.5,30:00.0,56:53.5,
28,21201,01103,2,Baltimore,MD,Springfield,MA,Rate source1,3,888.23,970.32,1081.87,323.47,0,,56:53.8,30:00.0,56:53.8,
29,52801,33401,2,Davenport,IA,West Palm Beach,FL,Rate source1,3,3067.74,3188.38,3240.9,1392.88,0,,56:54.1,30:00.0,56:54.1,
30,60133,23432,2,Bartlett,IL,Chuckatuck,VA,Rate source1,3,1757.11,1866.35,1949.8,919.4,0,,56:54.6,30:00.0,56:54.6,
31,12202,16037,2,Albany,NY,Harmony,PA,Rate source1,3,751.08,893.62,1084.15,469.75,0,,56:55.2,30:00.0,56:55.2,
32,29405,28134,2,Charleston,SC,Pineville,NC,Rate source1,3,710.28,726.13,746.04,199.2,0,,56:55.7,30:00.0,56:55.7,
33,31520,71638,2,Altama,GA,Baxter,AR,Rate source1,3,1017.44,1093.97,1174.61,815.16,0,,56:55.8,30:00.0,56:55.8,
34,17257,85201,2,Cleversburg,PA,Mesa,AZ,Rate source1,3,3454.59,3672.81,3722,2261.13,0,,56:56.2,30:00.0,56:56.2,
35,43351,28301,2,Upper Sandusky,OH,East Fayetteville,NC,Rate source1,3,1321.07,1393.39,1466.36,558.89,0,,56:56.6,30:00.0,56:56.6,
36,60107,44017,2,Streamwood,IL,Berea,OH,Rate source1,3,970.39,1020.89,1060,382.98,0,,56:57.0,30:00.0,56:57.0,
37,15122,64101,2,Pittsburgh,PA,Kansas City,MO,Rate source1,3,1544.12,1659.89,1784.47,840,0,,56:57.5,30:00.0,56:57.5,
38,15001,02451,2,Aliquippa,PA,North Waltham,MA,Rate source1,3,1227.18,1327.28,1414.48,569.44,0,,56:57.9,30:00.0,56:57.9,
39,29501,12015,2,Florence,SC,Athens,NY,Rate source1,3,1556.67,1626.79,1706.5,785.04,0,,56:58.4,30:00.0,56:58.4,
40,92251,85901,2,Imperial,CA,Show Low,AZ,Rate source1,3,1012.42,1054.36,1116.33,437.1,0,,56:58.5,30:00.0,56:58.5,
41,72201,30071,2,Little Rock,AR,Berkeley Lake,GA,Rate source1,3,1258.63,1316.32,1416.47,542.51,0,,56:58.8,30:00.0,56:58.8,
42,50021,79022,2,Ankeny,IA,Dalhart,TX,Rate source1,3,1492.84,1624.45,1690.71,798.08,0,,56:59.3,30:00.0,56:59.3,
43,54801,43543,2,Spooner,WI,Holiday City,OH,Rate source1,3,1124.59,1248.66,1358.48,629.56,0,,56:59.9,30:00.0,56:59.9,
44,21237,06492,2,Baltimore,MD,Wallingford,CT,Rate source1,3,764.84,832.33,915.82,275.94,0,,57:00.1,30:00.0,57:00.1,
45,60601,19092,2,Chicago,IL,Philadelphia,PA,Rate source1,3,1753.81,1868.91,1997.53,755.19,0,,58:53.4,30:00.0,58:53.4,
46,24382,27401,2,Stones Mill,VA,Greensboro,NC,Rate source1,3,628.14,678.01,852.42,116.75,0,,58:54.9,30:00.0,58:54.9,
47,52001,18015,2,Center Grove,IA,Bethlehem,PA,Rate source1,3,2015.37,2158.22,2304.5,918.69,0,,58:55.8,30:00.0,58:55.8,
48,27284,11763,2,Guthrie,NC,Gordon Heights,NY,Rate source1,3,1207.81,1276.54,1383.11,585.73,0,,58:56.5,30:00.0,58:56.5,
49,62040,67062,2,Granite City,IL,Hesston,KS,Rate source1,3,1153.31,1218.98,1371.72,458.01,0,,58:56.7,30:00.0,58:56.7,
50,18701,07094,2,Wilkes Barre,PA,Secaucus,NJ,Rate source1,3,637.31,664.51,695.11,111.67,0,,58:57.2,30:00.0,58:57.2,
51,43725,04401,2,Cambridge,OH,Bangor,ME,Rate source1,3,2189.22,2278.78,2345.12,966.91,0,,58:57.6,30:00.0,58:57.6,
52,77662,15901,2,North Vidor,TX,Johnstown,PA,Rate source1,3,2670.22,2777.15,2869.79,1358.24,0,,58:58.2,30:00.0,58:58.2,
53,70112,78201,2,New Orleans,LA,Balcones Heights,TX,Rate source1,3,858.45,936,1055.78,547.08,0,,58:58.6,30:00.0,58:58.6,
54,75941,78201,2,Burke,TX,Balcones Heights,TX,Rate source1,3,623.56,721.75,803.01,345.35,0,,58:59.2,30:00.0,58:59.2,
55,44203,53202,2,Akron,OH,Milwaukee,WI,Rate source1,3,713.47,771.31,846.07,451.89,0,,58:59.8,30:00.0,58:59.8,
56,40502,53702,2,Lexington,KY,Madison,WI,Rate source1,3,756.79,810.39,868.96,518.33,0,,59:00.3,30:00.0,59:00.3,
57,77002,75078,2,Clutch City,TX,Prosper,TX,Rate source1,3,618,650.62,1124.8,256.08,0,,59:00.9,30:00.0,59:00.9,
58,17011,06850,2,Camp Hill,PA,Norwalk,CT,Rate source1,3,708.89,785.8,844.98,221.1,0,,59:01.3,30:00.0,59:01.3,
59,43351,28075,2,Upper Sandusky,OH,Harrisburg,NC,Rate source1,3,1245.2,1301.4,1416.46,483.71,0,,59:01.7,30:00.0,59:01.7,
60,80012,78201,2,Aurora,CO,Balcones Heights,TX,Rate source1,3,1312.09,1354.13,1388.69,933.71,0,,59:02.1,30:00.0,59:02.1,
61,78040,37743,2,Laredo,TX,Baileyton,TN,Rate source1,3,2317.12,2402.52,2489.62,1202.23,0,,59:02.7,30:00.0,59:02.7,
62,78040,13146,2,Laredo,TX,Savannah,NY,Rate source1,3,3750.36,3814.26,3842.12,1871.71,0,,59:03.2,30:00.0,59:03.2,
63,79323,60601,2,Denver City,TX,Chicago,IL,Rate source1,3,1541.28,1631.51,1742.48,1191.29,0,,40:54.5,30:00.0,40:54.5,
64,60803,60601,1,Alsip,IL,Chicago,IL,Rate source1,3,1135.27,1287.61,2228.84,8.25,0,,40:54.9,30:00.0,40:54.9,
65,79323,60803,2,Denver City,TX,Alsip,IL,Rate source1,3,1541.28,1631.51,1742.48,1187.35,0,,42:24.9,30:00.0,42:24.9,
66,60803,10001,2,Alsip,IL,GPO,NY,Rate source1,3,1838.14,1977.91,2133.05,791.34,0,,42:25.3,30:00.0,42:25.3,
67,60605,79323,2,Chicago,IL,Denver City,TX,Rate source1,3,2441.44,2505.47,2573.76,1193.43,0,,42:25.7,30:00.0,42:25.7,
68,60803,80012,2,Alsip,IL,Aurora,CO,Rate source1,3,3154.52,3287.7,3364.54,1077.11,0,,44:41.4,30:00.0,44:41.4,
69,60803,60601,2,Alsip,IL,Chicago,IL,Rate source1,3,356,404.02,461.57,54.18,0,,46:07.8,30:00.0,46:07.8,
70,60601,80012,2,Chicago,IL,Aurora,CO,Rate source1,1,3131.58,3324.91,3364.05,1074.55,0,,59:19.1,30:00.0,59:19.1,
71,42602,36420,1,Aaron,KY,Andalusia,AL,Rate source1,3,1333.77,1481.9,1709.59,513.19,0,,00:06.9,30:00.0,00:06.9,
72,42602,36420,1,Aaron,KY,Andalusia,AL,Rate source1,1,1306.01,1444.49,1712.16,517.48,0,,02:10.3,30:00.0,02:10.3,
73,75165,77301,1,Waxahachie,TX,Beach,TX,Rate source1,3,948.27,1205.34,1229.98,201.42,0,,39:35.5,30:00.0,39:35.5,
74,61602,43351,1,Peoria,IL,Upper Sandusky,OH,Rate source1,3,1147.3,1183.42,1222.94,399.59,0,,39:36.5,30:00.0,39:36.5,
75,15122,46746,1,Pittsburgh,PA,Brighton,IN,Rate source1,3,1191.69,1238.9,1312.17,330.12,0,,39:37.6,30:00.0,39:37.6,
76,72315,80012,1,Blytheville,AR,Aurora,CO,Rate source1,3,2836.28,2989.47,3051.91,1072.75,0,,39:37.8,30:00.0,39:37.8,
77,71301,77002,1,Alex,LA,Clutch City,TX,Rate source1,3,859.4,891.96,1000.73,266.98,0,,39:38.7,30:00.0,39:38.7,
78,77701,78108,1,Beaumont,TX,Cibolo,TX,Rate source1,3,948.27,1205.34,1229.98,258.23,0,,39:39.2,30:00.0,39:39.2,
79,76031,79201,1,Cleburne,TX,Carey,TX,Rate source1,3,948.27,1205.34,1229.98,261.18,0,,39:40.0,30:00.0,39:40.0,
80,76031,08832,1,Cleburne,TX,Keasbey,NJ,Rate source1,3,3324.87,3375.85,3411.99,1546.97,0,,39:40.7,30:00.0,39:40.7,
81,30120,17101,1,Cartersville,GA,Harrisburg,PA,Rate source1,3,1672.46,1753.59,1901.9,718.26,0,,39:41.0,30:00.0,39:41.0,
82,42539,97113,1,Clementsville,KY,Cornelius,OR,Rate source1,3,4339.48,4409.7,4473.94,2461.08,0,,39:41.4,30:00.0,39:41.4,
83,23701,28734,1,Portsmouth,VA,Burningtown,NC,Rate source1,3,1237.36,1345.49,1479.9,414.58,0,,39:41.9,30:00.0,39:41.9,
